Iteration,augment,batch_size,drop_images,dropout,early_stop,early_stop_method,early_stop_patience,epochs,filter_model,filter_thresh,hidden_layer_width,hidden_layers,include_top,l1,l1_dense,l2,l2_dense,learning_rate,learning_rate_decay,learning_rate_decay_steps,loss,model,normalizer,normalizer_source,onehot_pool,optimizer,pooling,tile_px,tile_um,toplayer_epochs,trainable_layers,training_balance,uq,validation_balance,weight_model,avg_tile_auc
0,xyrjb,118,FALSE,0.037284295,FALSE,loss,0,[1],,,436,5,FALSE,0.030560614,0.071814158,0,0.022672507,0.000587236,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.5
1,xyr,75,FALSE,0.20484741,FALSE,loss,0,[1],,,143,2,FALSE,0.070328516,0,0.028054321,0,0.000242399,0.325386941,277,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.670419535
2,xyrjb,68,FALSE,0.25,FALSE,loss,0,[1],,,576,3,FALSE,0,0,0,0,0.000505,0,100000,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.673141285
3,xyr,12,FALSE,0.09233021,FALSE,loss,0,[1],,,302,3,FALSE,0,0,0,0.027215338,0.00066811,0,100000,mean_squared_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.749182874
4,xyrjb,59,FALSE,0.165426508,FALSE,loss,0,[1],,,512,5,FALSE,0,0.052500612,0.089083928,0,2.34E-05,0.150224671,984,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.611707253
5,xyr,24,FALSE,0.136572361,FALSE,loss,0,[1],,,612,5,FALSE,0,0,0,0.041759896,0.000171551,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.736396178
6,xyrj,41,FALSE,0.121307351,FALSE,loss,0,[1],,,878,2,FALSE,0,0.060686868,0.002173489,0,0.000507385,0.225055292,778,sparse_categorical_crossentropy,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.5
7,xyrjb,99,FALSE,0.237791866,FALSE,loss,0,[1],,,925,2,FALSE,0.085967094,0.066756177,0,0.008311057,9.76E-05,0,100000,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.654861343
8,xyrj,86,FALSE,0.004462894,FALSE,loss,0,[1],,,800,4,FALSE,0.014900491,0,0.06496551,0,0.000752312,0.299387544,491,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.66422631
9,xyrj,18,FALSE,0.418236583,FALSE,loss,0,[1],,,492,2,FALSE,0.064207226,0.039407289,0.050441402,0.013549763,0.000266054,0.580665231,707,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.693489792
10,xyrjb,62,FALSE,0.339509606,FALSE,loss,0,[1],,,336,5,FALSE,0.036878321,0,0,0,0.00092045,0,100000,sparse_categorical_crossentropy,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.519733939
11,xyrj,124,FALSE,0.457886279,FALSE,loss,0,[1],,,178,5,FALSE,0,0,0.013670158,0.036350292,0.000494731,0.881346405,560,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.668593253
12,xyr,76,FALSE,0.284234971,FALSE,loss,0,[1],,,416,3,FALSE,0,0.033348233,0,0,0.000829897,0,100000,mean_squared_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.563185172
13,xyrjb,113,FALSE,0.251656711,FALSE,loss,0,[1],,,765,2,FALSE,0,0,0.076319134,0.044632897,0.000994984,0.994015455,318,sparse_categorical_crossentropy,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.687092584
14,xyrjb,59,FALSE,0.166096953,FALSE,loss,0,[1],,,510,5,FALSE,0,0.052262247,0.089092612,0,2.45E-05,0.151220497,982,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.620407541
15,xyrjb,59,FALSE,0.167727319,FALSE,loss,0,[1],,,511,5,FALSE,0,0.052386652,0.089250569,0,2.40E-05,0.150224671,983,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.614337554
16,xyrj,18,FALSE,0.417192684,FALSE,loss,0,[1],,,489,2,FALSE,0.064430139,0.039213163,0.050441402,0.013661228,0.00026341,0.581866152,706,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.689979548
17,xyrj,18,FALSE,0.417192684,FALSE,loss,0,[1],,,490,2,FALSE,0.063970531,0.039057693,0.050193491,0.013661228,0.000265483,0.580282555,718,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.640130387
18,xyrj,18,FALSE,0.417994906,FALSE,loss,0,[1],,,490,2,FALSE,0.06556483,0.039621767,0.050310651,0.011052811,0.000265208,0.58052077,714,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.684858676
19,xyrj,18,FALSE,0.417661261,FALSE,loss,0,[1],,,491,2,FALSE,0.065053588,0.038491219,0.050284215,0.011428241,0.000270077,0.588805647,713,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.695650815
20,xyrj,17,FALSE,0.420478452,FALSE,loss,0,[1],,,483,2,FALSE,0.064641036,0.039162942,0.050048648,0.011276623,0.000266936,0.584539471,712,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.696132483
21,xyrjb,118,FALSE,0.03928183,FALSE,loss,0,[1],,,448,5,FALSE,0.032051471,0.070046246,0,0.022636934,0.000602746,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.5
22,xyrjb,117,FALSE,0.017473804,FALSE,loss,0,[1],,,398,5,FALSE,0.031326204,0.070649263,0,0.022704545,0.000596443,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.5
23,xyrjb,116,FALSE,0.025605603,FALSE,loss,0,[1],,,443,5,FALSE,0.028686293,0.070219155,0,0.020689614,0.000595998,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.5
24,xyr,76,FALSE,0.210640289,FALSE,loss,0,[1],,,188,2,FALSE,0.066974579,0,0.028664293,0,0.000229662,0.337644657,293,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.647815701
25,xyr,31,FALSE,0.401788585,FALSE,loss,0,[1],,,257,1,FALSE,0,0.000436131,0.036967648,0.018072918,0.000702235,0.459151721,995,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.740192451
26,xyr,73,FALSE,0.234841139,FALSE,loss,0,[1],,,165,2,FALSE,0.068541003,0,0.029595868,0,0.000180936,0.33204688,245,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.651077878
27,xyr,72,FALSE,0.35601913,FALSE,loss,0,[1],,,419,2,FALSE,0.038629235,0,0.080997791,0,0.000318783,0,100000,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.608685132
28,xyr,17,FALSE,0.372091176,FALSE,loss,0,[1],,,676,2,FALSE,0.049117914,0,0,0,0.000460209,0,100000,mean_squared_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.503004541
29,xyr,34,FALSE,0.429524134,FALSE,loss,0,[1],,,212,1,FALSE,0,0.004398553,0.035503768,0.015997144,0.000635533,0.442901881,956,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.744354626
30,xyr,28,FALSE,0.349510745,FALSE,loss,0,[1],,,231,1,FALSE,0,0.007715237,0.035262818,0.012327421,0.000660174,0.45577663,1012,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.752377061
31,xyr,28,FALSE,0.350897003,FALSE,loss,0,[1],,,238,1,FALSE,0,0.001798694,0.033988878,0.020738228,0.000651978,0.426478158,923,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.749776671
32,xyr,31,FALSE,0.378085617,FALSE,loss,0,[1],,,141,1,FALSE,0,0.00405246,0.035415244,0.016099834,0.000676876,0.36314907,985,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.744220129
33,xyr,25,FALSE,0.392336058,FALSE,loss,0,[1],,,202,1,FALSE,0,0.011096083,0.038122496,0.015603227,0.000705244,0.412735109,912,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.655216525
34,xyr,29,FALSE,0.389756629,FALSE,loss,0,[1],,,461,1,FALSE,0,0.006079312,0.036345167,0.013958445,0.000647031,0.395521898,943,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.711692011
35,xyr,42,FALSE,0.358420807,FALSE,loss,0,[1],,,344,1,FALSE,0,0.008549271,0.036007233,0.017308772,0.000722418,0.408056241,821,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.751149043
36,xyr,39,FALSE,0.266293851,FALSE,loss,0,[1],,,390,1,FALSE,0,0.003410597,0.041952878,0.015580969,0.000682723,0.40242861,981,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.712281503
37,xyr,34,FALSE,0.324443967,FALSE,loss,0,[1],,,311,1,FALSE,0,7.41E-05,0.039875334,0.002598039,0.000674429,0.353092949,807,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.683126085
38,xyr,41,FALSE,0.459365224,FALSE,loss,0,[1],,,397,1,FALSE,0,0.003666027,0.041569856,0.006206768,0.00080359,0.345021626,917,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.743541502
39,xyr,36,FALSE,0.339706632,FALSE,loss,0,[1],,,380,1,FALSE,0,0.021703905,0.039674356,0.006478596,0.000758696,0.288298901,1024,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.749769649
40,xyr,43,FALSE,0.219691497,FALSE,loss,0,[1],,,174,1,FALSE,0,0.012589169,0.039029078,0.0066296,0.00084105,0.328825551,906,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.704282581
41,xyr,13,FALSE,0.248772861,FALSE,loss,0,[1],,,375,1,FALSE,0,0.005343967,0.037475599,0.010366393,0.000803816,0.255029653,874,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.683538587
42,xyr,26,FALSE,0.294400343,FALSE,loss,0,[1],,,370,1,FALSE,0,0.012027969,0.026764223,0.006379348,0.000963578,0.347462075,962,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.697153007
43,xyr,29,FALSE,0.412278271,FALSE,loss,0,[1],,,219,1,FALSE,0,0.013307339,0.030754005,4.48E-05,0.000885114,0.200968519,838,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.701702847
44,xyrjb,49,FALSE,0.299519192,FALSE,loss,0,[1],,,832,3,FALSE,0,0.046339137,0.084765651,0.098202965,0.00055834,0,100000,mean_squared_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.547868834
45,xyr,75,FALSE,0.329768342,FALSE,loss,0,[1],,,265,1,FALSE,0,2.19E-05,0.027500448,9.28E-06,0.000850935,0.258841034,1017,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.699333317
46,xyr,55,FALSE,0.31155932,FALSE,loss,0,[1],,,267,1,FALSE,0,0.008306567,0.034253246,0.039803477,0.000999282,0.210307662,1023,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.759251099
47,xyr,56,FALSE,0.286125741,FALSE,loss,0,[1],,,128,1,FALSE,0,8.41E-06,0.02211034,0.022968367,0.000999944,0.227788526,723,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.68780092
48,xyr,61,FALSE,0.223434102,FALSE,loss,0,[1],,,511,1,FALSE,0,0.008162742,0.023961197,0.024690882,0.000835785,0.124058215,872,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.666508866
49,xyr,59,FALSE,0.335710825,FALSE,loss,0,[1],,,655,1,FALSE,0,1.09E-05,0.032183455,0.003635989,0.000999964,0.194989946,704,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.661978013
